"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000188157.16",15043.8197665348,-1.44992255546617,0.356362797682957,2.72342429798315e-06,0.000341608822607859
"ENSG00000228594.4",75.8957307929222,-1.35674298283082,0.386240382233294,2.48008195095304e-05,0.00135263781859068
"ENSG00000157933.11",1908.9682450038,-1.25879741359576,0.361533316807232,2.96404299794185e-05,0.00155003029895286
"ENSG00000142611.17",30.0195727572942,-1.32340135387263,0.449850573071345,0.00017829971142708,0.00508451816195157
"ENSG00000302015.1",34.6354188177669,-1.76048256648944,0.629256059786049,0.000213788032074947,0.00583707279395049
"ENSG00000188807.13",383.669082715831,-1.0153076149903,0.329616925564798,0.000146577231602417,0.00444676267371384
"ENSG00000171608.18",405.328171478243,-1.06674244261734,0.305340306822691,3.37932563640427e-05,0.00166983371736042
"ENSG00000116649.10",673.106011367861,-1.05694239657716,0.313615270867748,5.26854040860983e-05,0.00227167810839506
"ENSG00000162490.7",220.780092911624,-1.41119337252993,0.296606182442704,1.18431085052539e-07,4.28204348090023e-05
"ENSG00000028137.19",21.1756981914924,-1.82497582126826,0.51612630945034,2.28765422754961e-05,0.00127830697444104
"ENSG00000162496.10",1579.28844737711,1.77283665130312,0.304049577550635,3.2594482837132e-10,4.17605170464027e-07
"ENSG00000288927.3",36.4784141222304,2.03313972457691,0.402748284236224,2.50156494774845e-08,1.18080448599379e-05
"ENSG00000159363.19",1178.98830185296,-1.2017202080628,0.316693404407673,9.5005963484369e-06,0.000722085579245393
"ENSG00000117298.16",11513.4352622416,-1.50505856676049,0.350156183499089,9.55858469623258e-07,0.000169754785837944
"ENSG00000236936.2",39.9160845337439,-1.30255843142549,0.557261907303324,0.000876501495164179,0.0148318936969433
"ENSG00000162551.14",71.6477194182459,-1.13908272020496,0.342899007521131,5.88072645003817e-05,0.00238109684727618
"ENSG00000142798.20",18155.4928743896,-2.31864651263423,0.853439647126498,0.000201809823084237,0.00558580540397856
"ENSG00000133216.17",1995.35927098487,-1.48899532427017,0.265159074614626,1.21814894389702e-09,1.1499967161411e-06
"ENSG00000162430.18",2265.11679815483,-1.22028266525323,0.36369638394038,4.96868402320337e-05,0.00216354720672495
"ENSG00000158014.15",51.8021549654919,1.33136649701658,0.406593627848052,6.16392420954019e-05,0.00244081696653285
"ENSG00000090020.11",499.384045329803,-1.47392511550753,0.819841521729657,0.00211558115233106,0.0267233655840579
"ENSG00000126705.15",318.425503710608,-2.04656486846899,0.80064626136108,0.000339594638065342,0.00782944604495892
"ENSG00000162522.11",3699.0151664397,-1.32109516265067,0.352521837532172,9.30343686212768e-06,0.000710109561685039
"ENSG00000116525.14",138.645319142548,-1.15467368326468,0.371335706196161,0.000114052988150873,0.00376468508678883
"ENSG00000183386.11",240.42389937392,-1.24595959646574,0.389478725554321,7.83707770485065e-05,0.00292861797483138
"ENSG00000171790.16",126.690655992996,-1.24732683209697,0.405752114776003,0.000117840099731289,0.00381612929547246
"ENSG00000198198.17",1140.76016162003,-1.02877719549282,0.357071173975558,0.000246366454620916,0.00645120452048959
"ENSG00000142949.18",4478.72418099763,-1.61024145792278,0.660493122669629,0.000543549589385264,0.0107374988819422
"ENSG00000196517.13",293.288058988648,-1.73004752055644,0.368725056933247,1.41609018915325e-07,4.70377957830405e-05
"ENSG00000188396.4",55.5381030248535,-1.10157230691713,0.703495127916755,0.00428594973099893,0.0423331940115241
"ENSG00000237424.1",23.3179566152362,-2.14493920948168,0.592576810766085,1.38603381954626e-05,0.000945296145292823
"ENSG00000123080.12",53.6280751451883,-1.16059328636574,0.451208368433042,0.000548342349827182,0.0108068499940857
"ENSG00000226415.1",66.8225011957095,1.28186577815622,0.519965351705274,0.000662474522838728,0.0124167246772814
"ENSG00000142871.18",3784.32379422267,-1.31130681580373,0.393103021287064,4.89057617374026e-05,0.00213956743483851
"ENSG00000137975.8",247.043254183413,1.28760881686589,0.285768155497985,4.4691295345958e-07,0.000100802677056052
"ENSG00000240038.8",172.586382284294,1.01963722084876,0.260148982554256,7.32909537782195e-06,0.000598181292268319
"ENSG00000143126.8",2505.39028322302,-1.43456644801896,0.440122487333155,5.60501231668303e-05,0.00233234411683735
"ENSG00000134258.18",790.989936909508,1.26489002570282,0.323488190910572,5.97163127189931e-06,0.00054097550567706
"ENSG00000155761.14",443.152014515845,1.00999309999201,0.23223916331988,1.16949920385777e-06,0.000194234326107378
"ENSG00000143369.15",147.563678495909,-1.25766829304703,0.334199792741796,1.0563403250757e-05,0.000777530296874076
"ENSG00000143382.16",443.463164844796,-1.28570243899941,0.429778006014859,0.000145824065711151,0.00444082558006948
"ENSG00000143416.21",112.569962072435,1.27544386915084,0.347593789917214,1.5229486651801e-05,0.00101174556323464
"ENSG00000143546.10",238.729323865345,-2.41412303949647,0.427095678545404,7.62273062604758e-10,8.04287760231855e-07
"ENSG00000169418.10",99.0016788574414,1.01762051819416,0.279705836246787,2.18549580483211e-05,0.00124448375400868
"ENSG00000160716.6",40.3141201751659,-1.0732052019179,0.596176790026496,0.00321370674702173,0.0348514255872605
"ENSG00000302966.1",28.7241940717774,-1.52756587984822,0.651094595601722,0.000755457614717546,0.0134430984476078
"ENSG00000160767.23",580.193603774823,-1.17769715894084,0.385628296746454,0.000133577596109293,0.00415893249109372
"ENSG00000116584.22",2315.1813387556,-1.0390867442544,0.294042767396765,3.00643073895972e-05,0.00155856497585897
