"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","38/545","339/18805",0.112094395280236,3.8677708316419,9.20514984414546,9.83975227244138e-13,1.87051124126221e-09,1.48646056757147e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/RXFP1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/WDR72/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/KLK5/MMP9/COL18A1/COL6A1/GPM6B",38
"GO:0043062","extracellular structure organization","38/545","340/18805",0.111764705882353,3.85639503507825,9.1823968379101,1.07836632680586e-12,1.87051124126221e-09,1.48646056757147e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/RXFP1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/WDR72/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/KLK5/MMP9/COL18A1/COL6A1/GPM6B",38
"GO:0045229","external encapsulating structure organization","38/545","341/18805",0.111436950146628,3.84508595872905,9.15972999207038,1.18137552079718e-12,1.87051124126221e-09,1.48646056757147e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/RXFP1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/WDR72/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/KLK5/MMP9/COL18A1/COL6A1/GPM6B",38
"GO:0031589","cell-substrate adhesion","35/545","361/18805",0.0969529085872576,3.34532008437317,7.77322345910001,4.52184634141656e-10,5.36969253043216e-07,4.26719499482099e-07,"SLC9A1/CCN1/NID1/ITGA4/FN1/MUC4/TNXB/PPARD/PKHD1/AGR2/SERPINE1/ZYX/SORBS3/TLN1/TMEM8B/ABL1/NOTCH1/PXN/GREM1/PKD1/CX3CL1/MINK1/JUP/COL1A1/ITGB4/P4HB/CAMSAP3/MYADM/JAG1/LAMA5/RAC2/PDGFB/GPM6B/L1CAM/FLNA",35
"GO:0048762","mesenchymal cell differentiation","29/545","275/18805",0.105454545454545,3.63866555462886,7.61528165975509,2.1326994057892e-09,2.02606443549974e-06,1.6100758040337e-06,"TRIM62/ERBB4/FN1/EPHA4/SEMA3F/TCOF1/TNXB/ZNF703/AKNA/DAB2IP/ENG/NOTCH1/GATA3/DLG5/PAX2/PHLDB1/BCL9L/KITLG/GREM1/SEMA4B/VASN/TGFB1I1/FOXC2/COL1A1/TGFB1/JAG1/SNAI1/LAMA5/FLNA",29
"GO:0007409","axonogenesis","37/545","459/18805",0.0806100217864924,2.78141552237613,6.67534730660587,2.2238067152176e-08,1.76051364954727e-05,1.39904752294216e-05,"DRAXIN/ECE1/EPHB2/SZT2/CHRNB2/GLI2/ITGA4/FN1/EPHA4/SEMA3F/SPP1/PLEKHG4B/SLIT3/UNC5A/PTCH1/ABL1/NOTCH1/GATA3/UNC5B/PAX2/LRP4/MARK2/NECTIN1/ULK1/MAP1A/SEMA4B/RGMA/CNTNAP1/NGFR/NOTCH3/MAP1S/MEGF8/CDH4/PLXNB2/PLXNB3/L1CAM/PLXNA3",37
"GO:0060562","epithelial tube morphogenesis","30/545","337/18805",0.0890207715133531,3.07162496937359,6.62962769731348,5.64565556834145e-08,3.83098056423169e-05,3.0444091530936e-05,"SKI/PIK3CD/GLI2/EPHA4/PKHD1/SOSTDC1/PTCH1/ENG/ABL1/NOTCH1/GATA3/DLG5/PAX2/LRP5/GREM1/PML/CTSH/RGMA/TSC2/PKD1/NDRG4/FOXC2/RARA/WNK4/TGFB1/MEGF8/PRKD2/LAMA5/CELSR1/PLXNB2",30
"GO:0045216","cell-cell junction organization","23/545","222/18805",0.103603603603604,3.57479957021241,6.66706957896242,1.37812563069109e-07,6.55860833762356e-05,5.21200432104556e-05,"EPHB2/EPHA4/PTPN23/PKHD1/ZNF703/PLEC/TLN1/WHRN/DLG5/NECTIN1/HDAC7/NR1H4/CSK/NLGN2/JUP/CNTNAP1/PIP5K1C/CAMSAP3/LSR/TGFB1/SNAI1/CDH4/FLNA",23
"GO:0001678","intracellular glucose homeostasis","20/545","172/18805",0.116279069767442,4.01216129720504,6.85605102843398,1.38342139186717e-07,6.55860833762356e-05,5.21200432104556e-05,"PPARGC1A/SLC12A7/PPARD/GPER1/FOXK1/HK1/PAX2/LRP5/SIDT2/NR1H4/GPR68/NR1D1/NGFR/COL1A1/RPTOR/RAB11B/ICAM1/SMARCA4/TGFB1/FOXA3",20
"GO:0010717","regulation of epithelial to mesenchymal transition","17/545","126/18805",0.134920634920635,4.65538080675695,7.11236562795446,1.39288224924375e-07,6.55860833762356e-05,5.21200432104556e-05,"TRIM62/EPHA4/TNXB/ZNF703/DAB2IP/ENG/NOTCH1/GATA3/PHLDB1/BCL9L/GREM1/VASN/TGFB1I1/COL1A1/TGFB1/JAG1/SNAI1",17
