"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0062023","collagen-containing extracellular matrix","41/566","432/19880",0.0949074074074074,3.33349692448632,8.39423266007329,1.62465084774706e-11,7.74958454375347e-09,6.41309545163313e-09,"AGRN/HSPG2/CCN1/ECM1/ADAMTSL4/S100A8/LAMB3/NID1/PXDN/FN1/COL7A1/TNXB/LAMA4/AEBP1/SERPINE1/RARRES2/COL22A1/COL5A1/ENTPD2/NAV2/COL4A2/LTBP2/GREM1/CSPG4/CTSH/TGFB1I1/COL1A1/ITGB4/LGALS3BP/ICAM1/LTBP4/TGFB1/SSC5D/MMP9/LAMA5/COL18A1/COL6A1/COL6A2/PDGFB/SRPX2/L1CAM",41
"GO:0030055","cell-substrate junction","40/566","434/19880",0.0921658986175115,3.23720506098256,8.06686680261682,7.10568626614567e-11,1.69470617447574e-08,1.40243807884454e-08,"HSPG2/SLC9A1/FHL3/ARHGEF2/IL1RL1/ITGA4/TNS1/PDLIM7/MDC1/FLNC/ZYX/SORBS3/EPPK1/PLEC/TLN1/ENG/ARHGAP22/FLRT1/TNS2/LRP1/PXN/CSPG4/ATP6V0C/TGFB1I1/GIT1/TNS4/JUP/MRC2/ITGB4/P4HB/PIP5K1C/ICAM1/ADGRE5/PAK4/PI4KA/MYH9/RAC2/CDC42EP1/L1CAM/FLNA",40
"GO:0005925","focal adhesion","39/566","424/19880",0.0919811320754717,3.2307153810254,7.94821635260818,1.31357756273585e-10,2.08858832475001e-08,1.7283915299156e-08,"HSPG2/SLC9A1/FHL3/ARHGEF2/IL1RL1/ITGA4/TNS1/PDLIM7/MDC1/FLNC/ZYX/SORBS3/PLEC/TLN1/ENG/ARHGAP22/FLRT1/TNS2/LRP1/PXN/CSPG4/ATP6V0C/TGFB1I1/GIT1/TNS4/JUP/MRC2/ITGB4/P4HB/PIP5K1C/ICAM1/ADGRE5/PAK4/PI4KA/MYH9/RAC2/CDC42EP1/L1CAM/FLNA",39
"GO:0005604","basement membrane","16/566","97/19880",0.164948453608247,5.79359586171724,8.10159590232651,1.42076802880784e-08,1.69426587435334e-06,1.40207371263931e-06,"AGRN/HSPG2/LAMB3/NID1/PXDN/FN1/COL7A1/LAMA4/COL22A1/COL5A1/ENTPD2/COL4A2/ITGB4/LAMA5/COL18A1/COL6A1",16
"GO:0099572","postsynaptic specialization","29/566","396/19880",0.0732323232323232,2.57218831423778,5.40981564286873,3.70023972198166e-06,0.00035300286947705,0.000292124188577499,"SLC6A9/CHRNB2/ERBB4/EPHA4/IQSEC1/BSN/SYNPO/GPER1/ABL1/NOTCH1/DLG5/LRP4/DAGLA/SLC16A7/SEMA4B/TSC2/MINK1/NLGN2/GIT1/NGFR/LRFN3/SIPA1L3/GRIK5/PRR12/SHANK1/PRKCG/CACNG8/DLGAP4/SHANK3",29
"GO:0030426","growth cone","17/566","166/19880",0.102409638554217,3.597002852399,5.75186207488349,5.48916719939552e-06,0.000436388792351944,0.000361129421012863,"KIF21B/ITGA4/EPHA4/SNCA/DPYSL3/TENM2/PTCH1/WHRN/ABL1/NECTIN1/MAPK8IP3/NGFR/ADGRL1/MYH14/CCDC120/L1CAM/FLNA",17
"GO:0030427","site of polarized growth","17/566","171/19880",0.0994152046783626,3.49182733039902,5.60212860199733,8.18078706185796e-06,0.000520379511428473,0.000430635146829256,"KIF21B/ITGA4/EPHA4/SNCA/DPYSL3/TENM2/PTCH1/WHRN/ABL1/NECTIN1/MAPK8IP3/NGFR/ADGRL1/MYH14/CCDC120/L1CAM/FLNA",17
"GO:0098984","neuron to neuron synapse","29/566","414/19880",0.070048309178744,2.46035403970571,5.14031029898658,8.7275389757396e-06,0.000520379511428473,0.000430635146829256,"EPHB2/SLC6A9/ERBB4/EPHA4/IQSEC1/BSN/SYNPO/GPER1/ABL1/NOTCH1/DLG5/LRP4/SYT7/DAGLA/NECTIN1/SLC16A7/SEMA4B/TSC2/MINK1/NLGN2/GIT1/NGFR/LRFN3/GRIK5/PRR12/SHANK1/PRKCG/CACNG8/SHANK3",29
"GO:0005788","endoplasmic reticulum lumen","24/566","315/19880",0.0761904761904762,2.67608951707892,5.13312605620303,1.31870861188183e-05,0.000698915564297372,0.000578380970123612,"CCN1/ADAMTSL4/FN1/IGFBP5/SCG2/COL7A1/CP/SPP1/STC2/COL22A1/COL5A1/TMEM132A/COL4A2/ADAMTS7/COL1A1/P4HB/C3/ANO8/COL18A1/COL6A1/COL6A2/FOXRED2/PDGFB/ARSA",24
"GO:0150034","distal axon","22/566","277/19880",0.0794223826714801,2.78960594966259,5.13458559920912,1.58173529191502e-05,0.000754487734243467,0.000624369194176983,"KIF21B/ITGA4/EPHA4/SNCA/DPYSL3/TENM2/GPER1/PTCH1/WHRN/ABL1/NECTIN1/MAPK8IP3/CNGB1/GIT1/NGFR/AP3D1/ADGRL1/MYH14/PRKCG/CCDC120/L1CAM/FLNA",22
