"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","34/465","339/18805",0.100294985250737,4.05601547879595,9.04109255383851,4.52022509266782e-12,8.04370016579087e-09,6.43398755311885e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/MMP9/COL18A1/COL6A1",34
"GO:0043062","extracellular structure organization","34/465","340/18805",0.1,4.04408602150538,9.01931708568434,4.90946542376821e-12,8.04370016579087e-09,6.43398755311885e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/MMP9/COL18A1/COL6A1",34
"GO:0045229","external encapsulating structure organization","34/465","341/18805",0.0997067448680352,4.03222653170624,8.99762459455269,5.33048387395021e-12,8.04370016579087e-09,6.43398755311885e-09,"TNFRSF1B/SELENON/CCN1/NID1/PXDN/COL7A1/SH3PXD2B/TNXB/AEBP1/COL22A1/OLFML2A/ENG/ABL1/COL5A1/NOTCH1/NFKB2/MMP10/PHLDB1/LRP1/COL4A2/GREM1/ADAMTS7/MYH11/MMP15/FOXC2/ZNF469/COL1A1/ADAMTSL5/LTBP4/TGFB1/BCL3/MMP9/COL18A1/COL6A1",34
"GO:0031589","cell-substrate adhesion","31/465","361/18805",0.0858725761772853,3.47276084949215,7.55370625651223,1.93844831032815e-09,2.19383887521388e-06,1.75480583882338e-06,"SLC9A1/CCN1/NID1/FN1/MUC4/TNXB/PPARD/SERPINE1/ZYX/SORBS3/TLN1/TMEM8B/ABL1/NOTCH1/PXN/GREM1/PKD1/CX3CL1/MINK1/JUP/COL1A1/ITGB4/P4HB/CAMSAP3/MYADM/JAG1/LAMA5/RAC2/PDGFB/L1CAM/FLNA",31
"GO:0048762","mesenchymal cell differentiation","26/465","275/18805",0.0945454545454545,3.82349951124145,7.5104902418016,5.51295130917332e-09,4.99142611532553e-06,3.99253736916973e-06,"TRIM62/FN1/SEMA3F/TCOF1/TNXB/ZNF703/AKNA/DAB2IP/ENG/NOTCH1/GATA3/DLG5/PAX2/PHLDB1/BCL9L/GREM1/SEMA4B/VASN/TGFB1I1/FOXC2/COL1A1/TGFB1/JAG1/SNAI1/LAMA5/FLNA",26
"GO:0007409","axonogenesis","33/465","459/18805",0.0718954248366013,2.9075128259189,6.5880220944509,4.65186190016142e-08,3.50982980367179e-05,2.80743946255356e-05,"DRAXIN/ECE1/EPHB2/SZT2/CHRNB2/GLI2/FN1/SEMA3F/PLEKHG4B/SLIT3/UNC5A/PTCH1/ABL1/NOTCH1/GATA3/UNC5B/PAX2/LRP4/MARK2/NECTIN1/ULK1/MAP1A/SEMA4B/RGMA/CNTNAP1/NOTCH3/MAP1S/MEGF8/CDH4/PLXNB2/PLXNB3/L1CAM/PLXNA3",33
"GO:0001837","epithelial to mesenchymal transition","20/465","192/18805",0.104166666666667,4.21258960573477,7.12442153289574,6.59937180022979e-08,4.26790801994861e-05,3.41381037485571e-05,"TRIM62/TCOF1/TNXB/ZNF703/AKNA/DAB2IP/ENG/NOTCH1/GATA3/DLG5/PHLDB1/BCL9L/GREM1/VASN/TGFB1I1/COL1A1/TGFB1/JAG1/SNAI1/FLNA",20
"GO:0010717","regulation of epithelial to mesenchymal transition","16/465","126/18805",0.126984126984127,5.13534732889572,7.41604549622894,8.90088062709709e-08,5.03678582485856e-05,4.028819652265e-05,"TRIM62/TNXB/ZNF703/DAB2IP/ENG/NOTCH1/GATA3/PHLDB1/BCL9L/GREM1/VASN/TGFB1I1/COL1A1/TGFB1/JAG1/SNAI1",16
"GO:0016055","Wnt signaling pathway","33/465","477/18805",0.0691823899371069,2.79779536078988,6.33277180373179,1.14876366395316e-07,5.7782812296844e-05,4.62192632046652e-05,"SKI/DRAXIN/CELSR2/TCF7L1/ZNF703/WNK2/DAB2IP/ABL1/NOTCH1/GATA3/GRK5/LRP4/TMEM132A/MARK2/LRP5/BCL9L/LRP1/CCDC88C/GREM1/TLE3/LRRK1/TSC2/PKD1/ATP6V0C/TGFB1I1/JUP/COL1A1/SMARCA4/TGFB1/SNAI1/APCDD1L/COL6A1/CELSR1",33
"GO:0060562","epithelial tube morphogenesis","26/465","337/18805",0.0771513353115727,3.12006636674005,6.25325884202691,3.32935732110523e-07,0.000150720005926434,0.000120557780890547,"SKI/PIK3CD/GLI2/PTCH1/ENG/ABL1/NOTCH1/GATA3/DLG5/PAX2/LRP5/GREM1/PML/RGMA/TSC2/PKD1/NDRG4/FOXC2/RARA/WNK4/TGFB1/MEGF8/PRKD2/LAMA5/CELSR1/PLXNB2",26
