"pathway","NES","pval","padj","ES","size"
"HALLMARK_ANDROGEN_RESPONSE",-2.2210155811272,0.00746366374230719,0.0266457680250784,-0.713248319570792,98
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-2.1231104860953,7.85947615104666e-05,0.00278675202190711,-0.653166528258139,199
"HALLMARK_KRAS_SIGNALING_UP",-2.11833660072081,0.000111470080876284,0.00278675202190711,-0.653303613128641,189
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-2.05747448144192,0.000918687756937464,0.0142672969408804,-0.633129799878876,196
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-2.01061821464493,0.00589341692789969,0.0266457680250784,-0.696557034936142,48
"HALLMARK_MYC_TARGETS_V1",-2.00731078496318,0.00114138375527043,0.0142672969408804,-0.617655294248315,200
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.9735152703352,0.00758437618505878,0.0266457680250784,-0.649684641443231,73
"HALLMARK_P53_PATHWAY",-1.92481555872016,0.00595611285266458,0.0266457680250784,-0.592271276177516,200
"HALLMARK_ESTROGEN_RESPONSE_LATE",-1.92296130998084,0.00952380952380952,0.0266457680250784,-0.59276146623944,190
"HALLMARK_APOPTOSIS",-1.87324615754693,0.0146614920224235,0.0266457680250784,-0.582084561117559,155
"HALLMARK_UV_RESPONSE_UP",-1.86172825247929,0.0141085934159897,0.0266457680250784,-0.579318637706749,151
"HALLMARK_GLYCOLYSIS",-1.84481573851244,0.0159813809154383,0.0266457680250784,-0.567792421664684,195
"HALLMARK_ADIPOGENESIS",-1.83765428901386,0.0164468580294802,0.0266457680250784,-0.565588290016984,195
"HALLMARK_HYPOXIA",-1.80886704957785,0.0168678427731353,0.0266457680250784,-0.556927045561336,194
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-1.79304751097709,0.00784412955465587,0.0266457680250784,-0.591414163201831,72
"HALLMARK_INTERFERON_ALPHA_RESPONSE",-1.77185770979922,0.010036496350365,0.0266457680250784,-0.569985580297296,96
"HALLMARK_MYC_TARGETS_V2",-1.77177523724604,0.00703782832725902,0.0266457680250784,-0.599038841690788,58
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.76579818209448,0.0176415970287837,0.0266457680250784,-0.543666691723398,194
"HALLMARK_PEROXISOME",-1.7458850864339,0.010044351682755,0.0266457680250784,-0.560801520790731,97
"HALLMARK_TGF_BETA_SIGNALING",-1.73488844484074,0.00652856246076585,0.0266457680250784,-0.59372764443466,53
"HALLMARK_DNA_REPAIR",-1.73191582135587,0.0136305551611529,0.0266457680250784,-0.538882784089705,149
"HALLMARK_IL2_STAT5_SIGNALING",-1.72573129736741,0.01669449081803,0.0266457680250784,-0.533045879813013,183
"HALLMARK_E2F_TARGETS",-1.72563945288703,0.0186520376175549,0.0266457680250784,-0.530984216307585,200
"HALLMARK_INFLAMMATORY_RESPONSE",-1.72228450846747,0.0163222521713088,0.0266457680250784,-0.532550758200906,176
"HALLMARK_PROTEIN_SECRETION",-1.71455927718095,0.00989841104454285,0.0266457680250784,-0.552102917378337,95
"HALLMARK_INTERFERON_GAMMA_RESPONSE",-1.71103120791482,0.0179095260151305,0.0266457680250784,-0.527139886004461,193
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-1.70094834441015,0.0109552438209753,0.0266457680250784,-0.538796077445614,113
"HALLMARK_FATTY_ACID_METABOLISM",-1.67799212758788,0.0137315968289921,0.0266457680250784,-0.522392408547145,148
"HALLMARK_COMPLEMENT",-1.66599123422186,0.0163418290854573,0.0266457680250784,-0.514833009937554,177
"HALLMARK_G2M_CHECKPOINT",-1.63104374608831,0.0184605757196496,0.0266457680250784,-0.50178414550105,199
"HALLMARK_XENOBIOTIC_METABOLISM",-1.62858976296275,0.016338880484115,0.0266457680250784,-0.50310003938228,181
"HALLMARK_COAGULATION",-1.61918635301134,0.0113467513170336,0.0266457680250784,-0.510186692546992,120
"HALLMARK_ANGIOGENESIS",-1.61857432611024,0.00758629409533443,0.0266457680250784,-0.596931838282261,32
"HALLMARK_ALLOGRAFT_REJECTION",-1.60752512166683,0.0146889400921659,0.0266457680250784,-0.498940864962758,157
"HALLMARK_HEME_METABOLISM",-1.53356964224489,0.0169439780186231,0.0266457680250784,-0.473043317496654,187
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.46255986097459,0.0233111918786815,0.030672620893002,-0.517891734653324,41
"HALLMARK_BILE_ACID_METABOLISM",-1.40426483217709,0.0200395517468688,0.02783271075954,-0.44837198175421,103
"HALLMARK_MITOTIC_SPINDLE",-1.3748533014019,0.0212765957446809,0.0287521564117309,-0.422968170343544,199
