"pathway","NES","pval","padj","ES","size"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION",-2.21555955712478,7.76478586160865e-18,3.88239293080432e-16,-0.616600269199933,199
"HALLMARK_MYC_TARGETS_V1",-2.12793749834236,2.48999703905997e-15,6.22499259764993e-14,-0.592109730882536,200
"HALLMARK_UV_RESPONSE_UP",-2.08093301615216,1.82847556946672e-12,2.2855944618334e-11,-0.591459707558889,151
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",-2.0787942924796,1.52939060641341e-06,4.77934564504192e-06,-0.677467325598981,48
"HALLMARK_P53_PATHWAY",-2.03956265816824,6.06801929497572e-13,1.01133654916262e-11,-0.567518969700382,200
"HALLMARK_ESTROGEN_RESPONSE_LATE",-2.00355612392383,3.15683527457656e-11,1.97302204661035e-10,-0.559732335147783,190
"HALLMARK_GLYCOLYSIS",-1.99674206645648,8.34188919154959e-12,8.34188919154959e-11,-0.55679598997116,195
"HALLMARK_TNFA_SIGNALING_VIA_NFKB",-1.98963909785814,1.24223910331392e-11,1.0351992527616e-10,-0.554737566307404,196
"HALLMARK_MTORC1_SIGNALING",-1.98104422358004,1.77930827487334e-11,1.27093448205239e-10,-0.551235909421274,200
"HALLMARK_ESTROGEN_RESPONSE_EARLY",-1.92625700290672,3.55420055353518e-10,1.9745558630751e-09,-0.537363102401475,194
"HALLMARK_MYC_TARGETS_V2",-1.91517688619491,2.0357196693261e-05,4.62663561210477e-05,-0.606688148104608,58
"HALLMARK_ADIPOGENESIS",-1.9112943727463,9.13770956437873e-10,4.56885478218936e-09,-0.532968709517984,195
"HALLMARK_DNA_REPAIR",-1.90312133572408,3.38015899679764e-08,1.40839958199902e-07,-0.541170128666076,149
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",-1.88665581078018,4.69783103552827e-06,1.1185311989353e-05,-0.58003742292448,73
"HALLMARK_HYPOXIA",-1.88312910014261,2.18613989079832e-09,9.93699950362871e-09,-0.525331819143621,194
"HALLMARK_PEROXISOME",-1.86291722276163,3.19150681810782e-06,8.86529671696617e-06,-0.552466683265218,97
"HALLMARK_WNT_BETA_CATENIN_SIGNALING",-1.84084596171789,0.000110647068232012,0.000197584050414308,-0.614899534315767,41
"HALLMARK_APOPTOSIS",-1.83328412077616,2.7392290947984e-07,1.05354965184554e-06,-0.519794129354602,155
"HALLMARK_ANDROGEN_RESPONSE",-1.76617715016138,2.86919407665353e-05,5.97748765969484e-05,-0.522862246374316,98
"HALLMARK_IL6_JAK_STAT3_SIGNALING",-1.76531053595137,9.54499878632071e-05,0.000176759236783717,-0.543721625993247,72
"HALLMARK_E2F_TARGETS",-1.7527942133969,5.53357005733142e-07,1.97627502047551e-06,-0.487724151106589,200
"HALLMARK_APICAL_JUNCTION",-1.73025622573275,6.57091405082194e-07,2.19030468360731e-06,-0.484964897413445,181
"HALLMARK_MYOGENESIS",-1.71441625694365,3.45260352478915e-06,8.89499120993279e-06,-0.482051368239478,173
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",-1.70705565116116,2.61130723972762e-06,7.68031541096358e-06,-0.475081326818945,199
"HALLMARK_TGF_BETA_SIGNALING",-1.6910836768209,0.000900760444594655,0.00125105617304813,-0.543388000570344,53
"HALLMARK_IL2_STAT5_SIGNALING",-1.68932153448464,3.55799648397312e-06,8.89499120993279e-06,-0.47334777045938,183
"HALLMARK_ALLOGRAFT_REJECTION",-1.68164425820083,2.85608430984526e-05,5.97748765969484e-05,-0.4765254326527,157
"HALLMARK_COMPLEMENT",-1.6245056297996,6.18215732127965e-05,0.000123643146425593,-0.456063027767589,177
"HALLMARK_FATTY_ACID_METABOLISM",-1.61502291367654,0.000179681079159056,0.000289808192192025,-0.459700490113446,148
"HALLMARK_BILE_ACID_METABOLISM",-1.5998305437161,0.000688824342389829,0.00101297697410269,-0.470874482897264,103
"HALLMARK_COAGULATION",-1.59342084857324,0.000492206957643602,0.000769073371318128,-0.461965369508392,120
"HALLMARK_ANGIOGENESIS",-1.59155501381456,0.00893312914752425,0.0108940599360052,-0.555523279709732,32
"HALLMARK_HEME_METABOLISM",-1.58919608928792,8.57672986598539e-05,0.000164937112807411,-0.444490140004009,187
"HALLMARK_INFLAMMATORY_RESPONSE",-1.58581832794934,0.000170348597878856,0.000283914329798094,-0.445346676499341,176
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE",-1.57407421825958,0.00162417152218049,0.00219482638132499,-0.458677977685713,113
