"pathway","NES","pval","padj","ES","size"
"REACTOME_SIGNALING_BY_RETINOIC_ACID",-2.27848485582378,0.00374953130858643,0.043683138053999,-0.807385683692143,40
"REACTOME_RA_BIOSYNTHESIS_PATHWAY",-2.27742230310128,0.000209129742436318,0.043683138053999,-0.902510303569024,21
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",-2.1578708705412,0.0093625753494934,0.043683138053999,-0.699425558801746,89
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",-2.14866994102631,0.00923517169614984,0.043683138053999,-0.691467221855661,98
"REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY",-2.13463588559814,0.00437828371278459,0.043683138053999,-0.73642018780151,49
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",-2.13198046820411,0.0097483862468713,0.043683138053999,-0.679307971177695,109
"REACTOME_SELENOAMINO_ACID_METABOLISM",-2.04042101094769,0.0118115461181155,0.043683138053999,-0.648577571705265,113
"REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",-2.03174202155255,0.00917782026768642,0.043683138053999,-0.659765802880954,86
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",-2.03132937104515,0.0120128136679124,0.043683138053999,-0.644577579243497,116
"REACTOME_REGULATION_OF_RUNX3_EXPRESSION_AND_ACTIVITY",-2.02248169336493,0.00502765208647562,0.043683138053999,-0.688283575170067,55
"REACTOME_SIGNALING_BY_NUCLEAR_RECEPTORS",-2.01250856946561,8.4218139723609e-05,0.043683138053999,-0.613017792969271,280
"REACTOME_TRANSLATION",-2.00654299951943,0.000213717205720526,0.043683138053999,-0.611155164145742,287
"REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1",-2.00067207142386,0.00768165218486337,0.043683138053999,-0.660688952628145,72
"REACTOME_NUCLEAR_EVENTS_MEDIATED_BY_NFE2L2",-1.99222144556853,0.0103466114847387,0.043683138053999,-0.642916369739971,95
"REACTOME_SCF_SKP2_MEDIATED_DEGRADATION_OF_P27_P21",-1.99024401758516,0.00589785418496675,0.043683138053999,-0.669362253416632,60
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",-1.9841557835108,0.0122594440484676,0.043683138053999,-0.620025084381226,152
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",-1.98354477886572,0.00987941304663664,0.043683138053999,-0.617591118453662,162
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD",-1.97873758102379,0.0121983558737735,0.043683138053999,-0.629611878829297,112
"REACTOME_MITOCHONDRIAL_TRANSLATION",-1.97578216980072,0.0100697134004648,0.043683138053999,-0.63897210313512,93
"REACTOME_RUNX1_REGULATES_TRANSCRIPTION_OF_GENES_INVOLVED_IN_DIFFERENTIATION_OF_HSCS",-1.96436700529357,0.0124056094929881,0.043683138053999,-0.6209140553173,122
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",-1.96421651246099,0.00904113077804661,0.043683138053999,-0.638166274128626,85
"REACTOME_NEGATIVE_REGULATION_OF_NOTCH4_SIGNALING",-1.95566405082697,0.00477326968973747,0.043683138053999,-0.666829607282239,54
