"pathway","NES","pval","padj","ES","size"
"REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION",-2.41448698346116,3.14031539501434e-16,1.01667710913589e-13,-0.724081122403143,89
"REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY",-2.35042651720629,7.79451778493922e-15,1.24386837446671e-12,-0.695681868459551,98
"REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE",-2.34339434393037,1.01935806564821e-16,4.40022898338143e-14,-0.685893365390251,109
"REACTOME_SELENOAMINO_ACID_METABOLISM",-2.30242692327747,2.11859468541832e-15,5.48716023523344e-13,-0.670812567356418,113
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",-2.27853576339741,3.95305927812618e-15,8.53201960862234e-13,-0.662680102881854,116
"REACTOME_SARS_COV_2_MODULATES_HOST_TRANSLATION_MACHINERY",-2.26264331815933,2.00322880421149e-10,1.08090887560579e-08,-0.735050970783845,49
"REACTOME_TRANSLATION",-2.23567405326079,2.90653583155564e-24,3.76396390186455e-21,-0.608987794670107,287
"REACTOME_NONSENSE_MEDIATED_DECAY_NMD",-2.19512489333613,2.08496835533179e-12,1.68752126259666e-10,-0.640633154410882,112
"REACTOME_INFLUENZA_INFECTION",-2.1856441081621,8.64464507351381e-15,1.24386837446671e-12,-0.619999352177283,152
"REACTOME_RRNA_PROCESSING",-2.18026602546536,7.17681096865353e-17,4.40022898338143e-14,-0.606266531040267,198
"REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY",-2.15934958072642,1.23834434106598e-07,3.08395369553932e-06,-0.744509648910404,35
"REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS",-2.15771574816303,1.20541213324908e-13,1.49380572939988e-11,-0.609419378512654,162
"REACTOME_CELLULAR_RESPONSE_TO_STARVATION",-2.13410493295763,2.03095130075435e-13,2.19173494539741e-11,-0.605379288865422,152
"REACTOME_NEGATIVE_REGULATION_OF_MAPK_PATHWAY",-2.12440792863246,4.65420938819637e-07,9.2726171657143e-06,-0.704843702985764,43
"REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION",-2.09555530299484,2.47121135244597e-12,1.86181420844358e-10,-0.595846984534393,148
"REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S",-2.06547985485319,5.23882857096182e-08,1.4434644679565e-06,-0.65507768707147,58
"REACTOME_CYCLIN_D_ASSOCIATED_EVENTS_IN_G1",-2.05801490824257,1.17006033160494e-06,2.07565497181971e-05,-0.674837154808286,46
"REACTOME_PROTEIN_LOCALIZATION",-2.05564288021331,2.55014595226301e-11,1.59055327406976e-09,-0.581911138675134,155
"REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY",-2.0527654716392,2.07282323382295e-08,6.54708801902616e-07,-0.618567742635892,85
"REACTOME_SIGNALING_BY_ROBO_RECEPTORS",-2.04630247028159,6.65717511040754e-13,6.63157059075213e-11,-0.567783449219262,205
"REACTOME_SENESCENCE_ASSOCIATED_SECRETORY_PHENOTYPE_SASP",-2.03925741023316,5.03013251905866e-09,1.91588870946499e-07,-0.597859028182336,107
"REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX",-2.03284050712911,3.89946848949993e-08,1.17437481253544e-06,-0.60674546653778,92
"REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION",-2.03239636348902,3.62151218284746e-06,5.3293844054403e-05,-0.697874373174653,36
