"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-1474244","Extracellular matrix organization","29/321","321/11214",0.0903426791277259,3.15608350074242,6.72796953149018,4.02298299513645e-08,3.65689154257903e-05,3.35813212120337e-05,"AGRN/HSPG2/LAMB3/NID1/PXDN/FN1/COL7A1/TNXB/SERPINE1/COL22A1/PLEC/COL5A1/LRP4/MMP10/COL4A2/LTBP2/MMP15/COL1A1/ITGB4/P4HB/ICAM1/LTBP4/TGFB1/MMP9/LAMA5/COL18A1/COL6A1/COL6A2/PDGFB",29
"R-HSA-2022090","Assembly of collagen fibrils and other multimeric structures","12/321","61/11214",0.19672131147541,6.87237628313161,7.89446344095285,1.22010341497775e-07,5.39127956795912e-05,4.95082473208452e-05,"LAMB3/PXDN/COL7A1/PLEC/COL5A1/COL4A2/COL1A1/ITGB4/MMP9/COL18A1/COL6A1/COL6A2",12
"R-HSA-3000178","ECM proteoglycans","13/321","76/11214",0.171052631578947,5.9756517461879,7.47124263301776,2.04812642096562e-07,5.39127956795912e-05,4.95082473208452e-05,"AGRN/HSPG2/FN1/TNXB/SERPINE1/COL5A1/LRP4/COL4A2/COL1A1/TGFB1/LAMA5/COL6A1/COL6A2",13
"R-HSA-1474290","Collagen formation","14/321","90/11214",0.155555555555556,5.43426791277259,7.25023976951946,2.37240024992701e-07,5.39127956795912e-05,4.95082473208452e-05,"LAMB3/PXDN/COL7A1/COL22A1/PLEC/COL5A1/COL4A2/COL1A1/ITGB4/P4HB/MMP9/COL18A1/COL6A1/COL6A2",14
"R-HSA-3000157","Laminin interactions","8/321","30/11214",0.266666666666667,9.31588785046729,7.82907308666137,1.39525214786595e-06,0.000253656840482029,0.000232933674370041,"HSPG2/LAMB3/NID1/COL7A1/COL4A2/ITGB4/LAMA5/COL18A1",8
"R-HSA-1474228","Degradation of the extracellular matrix","15/321","140/11214",0.107142857142857,3.74299065420561,5.6062926152231,1.10429767454902e-05,0.00160146475449092,0.0014706288579831,"HSPG2/LAMB3/NID1/FN1/COL7A1/COL5A1/MMP10/COL4A2/MMP15/COL1A1/MMP9/LAMA5/COL18A1/COL6A1/COL6A2",15
"R-HSA-1442490","Collagen degradation","10/321","64/11214",0.15625,5.45852803738318,6.1402171567759,1.23325118607662e-05,0.00160146475449092,0.0014706288579831,"COL7A1/COL5A1/MMP10/COL4A2/MMP15/COL1A1/MMP9/COL18A1/COL6A1/COL6A2",10
"R-HSA-3000171","Non-integrin membrane-ECM interactions","11/321","80/11214",0.1375,4.8035046728972,5.86061260221464,1.6014853332785e-05,0.0018196877099377,0.00167102351222349,"AGRN/HSPG2/LAMB3/FN1/COL5A1/COL4A2/COL1A1/ITGB4/TGFB1/LAMA5/PDGFB",11
"R-HSA-216083","Integrin cell surface interactions","11/321","85/11214",0.129411764705882,4.52094557449148,5.59345796981798,2.87125376774824e-05,0.00270811331556874,0.00248686683949512,"AGRN/HSPG2/FN1/COL7A1/COL5A1/COL4A2/COL1A1/ICAM1/COL18A1/COL6A1/COL6A2",11
"R-HSA-8948216","Collagen chain trimerization","8/321","44/11214",0.181818181818182,6.3517417162277,6.1056875012726,2.97922256938255e-05,0.00270811331556874,0.00248686683949512,"COL7A1/COL22A1/COL5A1/COL4A2/COL1A1/COL18A1/COL6A1/COL6A2",8
"R-HSA-9013148","CDC42 GTPase cycle","15/321","154/11214",0.0974025974025974,3.40271877655055,5.15377452747661,3.45813860238935e-05,0.00285767999051992,0.00262421426956436,"IQGAP3/ARAP3/ARHGAP39/ARHGAP22/WDR81/GIT1/JUP/FMNL1/ARHGDIA/DOCK6/MYO9B/PAK4/PLEKHG2/CDC42EP1/FGD1",15
"R-HSA-373755","Semaphorin interactions","9/321","65/11214",0.138461538461538,4.83709561466571,5.32575295922725,8.9916517865398e-05,0.0068111762283039,0.00625471918133865,"PLXNA2/DPYSL3/TLN1/MYH11/PIP5K1C/MYH14/MYH9/PLXNB3/PLXNA3",9
"R-HSA-1650814","Collagen biosynthesis and modifying enzymes","9/321","67/11214",0.134328358208955,4.69270470079509,5.20406431872963,0.000114387355005925,0.00799831582310658,0.00734487226880148,"COL7A1/COL22A1/COL5A1/COL4A2/COL1A1/P4HB/COL18A1/COL6A1/COL6A2",9
"R-HSA-9931509","Expression of BMAL (ARNTL), CLOCK, and NPAS2","6/321","34/11214",0.176470588235294,6.16492578339747,5.1775263470681,0.000358643614762162,0.0232862175584861,0.0213837884591274,"MEF2D/RXRA/RAI1/NR1D1/CRTC1/HELZ2",6
"R-HSA-446728","Cell junction organization","11/321","115/11214",0.0956521739130435,3.3415684681024,4.3326492402756,0.000447152437460514,0.0270974377101072,0.0248836409056974,"LAMB3/FLNC/PLEC/NECTIN1/PXN/JUP/SDK2/ITGB4/SNAI1/CDH4/FLNA",11
"R-HSA-399955","SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion","4/321","14/11214",0.285714285714286,9.98130841121495,5.7721059201561,0.00052544677752283,0.0298519450480158,0.0274131114852371,"PLXNA2/TLN1/PIP5K1C/PLXNA3",4
"R-HSA-2214320","Anchoring fibril formation","4/321","15/11214",0.266666666666667,9.31588785046729,5.53228196006753,0.000700456886473319,0.037453841753191,0.0343939511438602,"LAMB3/COL7A1/COL4A2/COL1A1",4
"R-HSA-9013149","RAC1 GTPase cycle","14/321","185/11214",0.0756756756756757,2.64369790351099,3.86971938044804,0.00086937388914535,0.0428304934511118,0.0393313430684172,"IQGAP3/ARAP3/ARHGAP39/ARHGAP22/GIT1/ARHGAP23/FMNL1/ARHGDIA/DOCK6/MYO9B/PAK4/PLEKHG2/JAG1/CDC42EP1",14
"R-HSA-3000170","Syndecan interactions","5/321","27/11214",0.185185185185185,6.46936656282451,4.8842936875091,0.000895246837812017,0.0428304934511118,0.0393313430684172,"FN1/COL5A1/COL1A1/ITGB4/TGFB1",5
"R-HSA-8875878","MET promotes cell motility","6/321","41/11214",0.146341463414634,5.11237747891498,4.52834676850663,0.00101347427149634,0.0439884691073875,0.0403947148424044,"LAMB3/FN1/COL5A1/TNS4/COL1A1/LAMA5",6
"R-HSA-2151201","Transcriptional activation of mitochondrial biogenesis","7/321","56/11214",0.125,4.36682242990654,4.33571495292264,0.00102575809308687,0.0439884691073875,0.0403947148424044,"MEF2D/RXRA/PPRC1/NR1D1/CRTC1/HELZ2/HCFC1",7
"R-HSA-350054","Notch-HLH transcription pathway","5/321","28/11214",0.178571428571429,6.23831775700935,4.76401502905412,0.00106462741514029,0.0439884691073875,0.0403947148424044,"NOTCH1/HDAC7/NCOR2/NOTCH3/MAMLD1",5
